"day","time","name","gender","is_smoker","party","check","tip"
"Sunday","Dinner","Kimberly","Female","False","2","16.99","1.01"
"Sunday","Dinner","Nicholas","Male","False","3","10.34","1.66"
"Sunday","Dinner","Larry","Male","False","3","21.01","3.5"
"Sunday","Dinner","Joseph","Male","False","2","23.68","3.31"
"Sunday","Dinner","Janice","Female","False","4","24.59","3.61"
"Sunday","Dinner","Mark","Male","False","4","25.29","4.71"
"Sunday","Dinner","Jamie","Male","False","2","8.77","2.0"
"Sunday","Dinner","Steven","Male","False","4","26.88","3.12"
"Sunday","Dinner","Wilburn","Male","False","2","15.04","1.96"
"Sunday","Dinner","Ian","Male","False","2","14.78","3.23"
"Sunday","Dinner","Rick","Male","False","2","10.27","1.71"
"Sunday","Dinner","Katie","Female","False","4","35.26","5.0"
"Sunday","Dinner","Karl","Male","False","2","15.42","1.57"
"Sunday","Dinner","Timothy","Male","False","4","18.43","3.0"
"Sunday","Dinner","Anne","Female","False","2","14.83","3.02"
"Sunday","Dinner","Brandon","Male","False","2","21.58","3.92"
"Sunday","Dinner","Alice","Female","False","3","10.33","1.67"
"Sunday","Dinner","Roman","Male","False","3","16.29","3.71"
"Sunday","Dinner","Paisley","Female","False","3","16.97","3.5"
"Saturday","Dinner","Sean","Male","False","3","20.65","3.35"
"Saturday","Dinner","William","Male","False","2","17.92","4.08"
"Saturday","Dinner","Pauline","Female","False","2","20.29","2.75"
"Saturday","Dinner","Jo","Female","False","2","15.77","2.23"
"Saturday","Dinner","Richard","Male","False","4","39.42","7.58"
"Saturday","Dinner","Carl","Male","False","2","19.82","3.18"
"Saturday","Dinner","Mario","Male","False","4","17.81","2.34"
"Saturday","Dinner","Charles","Male","False","2","13.37","2.0"
"Saturday","Dinner","Tyler","Male","False","2","12.69","2.0"
"Saturday","Dinner","Jonathan","Male","False","2","21.7","4.3"
"Saturday","Dinner","Jan","Female","False","2","19.65","3.0"
"Saturday","Dinner","Dustin","Male","False","2","9.55","1.45"
"Saturday","Dinner","Reyes","Male","False","4","18.35","2.5"
"Saturday","Dinner","Jessica","Female","False","2","15.06","3.0"
"Saturday","Dinner","Laura","Female","False","4","20.69","2.45"
"Saturday","Dinner","Alejandro","Male","False","2","17.78","3.27"
"Saturday","Dinner","Levi","Male","False","3","24.06","3.6"
"Saturday","Dinner","Leonard","Male","False","3","16.31","2.0"
